":START_ID",":END_ID"
"2bf1d4e9-016f-48dc-92b2-13d9a5982931","349a0ea7-1d1e-4c5e-b4a6-d893abfcb9e6"
"349a0ea7-1d1e-4c5e-b4a6-d893abfcb9e6","5376fce5-62f1-4181-8aae-76d094db8184"
"5376fce5-62f1-4181-8aae-76d094db8184","077c6ea3-cdcb-4a34-8736-47c78daa28a3"
"077c6ea3-cdcb-4a34-8736-47c78daa28a3","442a13a4-3aa0-434b-a791-4c585025d8fc"
"442a13a4-3aa0-434b-a791-4c585025d8fc","d2efaa4b-1aea-4801-91ac-c48e08fad55a"
"d2efaa4b-1aea-4801-91ac-c48e08fad55a","c9aba299-6b89-4385-baf1-2d317477f0c8"
"c9aba299-6b89-4385-baf1-2d317477f0c8","5bc7e4b9-2712-4111-8bd6-daac8d0b534c"
"5bc7e4b9-2712-4111-8bd6-daac8d0b534c","db039023-04cc-4957-a4c1-9f01ecf52013"
"db039023-04cc-4957-a4c1-9f01ecf52013","8805ffbb-7e6c-4684-a014-e26d7444f74c"
"8805ffbb-7e6c-4684-a014-e26d7444f74c","5ce2c75a-c717-4024-b390-20c31e512425"
"5ce2c75a-c717-4024-b390-20c31e512425","055ac23c-d830-4619-8ff2-dad620215cc3"
"055ac23c-d830-4619-8ff2-dad620215cc3","8567c732-e32d-496a-84b3-3dd0d6180521"
"8567c732-e32d-496a-84b3-3dd0d6180521","b1404965-4a88-4911-add9-a03a3cdcab17"
"b1404965-4a88-4911-add9-a03a3cdcab17","7537d7fa-4b0c-4ce7-92ad-a4bb3028f378"
"7537d7fa-4b0c-4ce7-92ad-a4bb3028f378","9b9b994f-3199-4c0d-b70e-bf8022d6e337"
"874b0fd0-0c9e-4879-9a3a-f01f38a035d7","84dd4ad0-24f0-452f-8c3e-ad15f0775ea7"
"84dd4ad0-24f0-452f-8c3e-ad15f0775ea7","e9d6dbe1-2ab4-44d4-bfb8-2b43e6e1fda1"
"e9d6dbe1-2ab4-44d4-bfb8-2b43e6e1fda1","61e2de78-540f-4b26-8d7a-dfbafc874179"
"61e2de78-540f-4b26-8d7a-dfbafc874179","6e8dda75-ed5a-4133-a4a7-fad345aba7ff"
"6e8dda75-ed5a-4133-a4a7-fad345aba7ff","a71f09b9-5053-4612-94ec-236d6d91c47d"
